First Name,Last Name,Date of Birth,Months,Income,Expenses
Edward,Kim,08/07/1996,Jan,19770,3438
Jarvis,Mackenzie,15/12/1986,Feb,29926,25382
Nathaniel,Morrow,17/10/1997,Mar,21500,26737
Kristen,Wu,21/02/2001,Apr,29023,18685
Ashley,Bria,01/08/1990,May,24486,22691
Nichols,Boston,05/05/2005,Jun,29245,13706
Caylin,Pilay,02/02/2002,Jul,28474,10402
Saniyah,Blanchard,30/01/1994,Aug,25398,12039
Jaslyn,Alvarez,24/11/2002,Sep,33953,3411
Mara,Perez,18/07/1999,Oct,30650,26110
Braelyn,Kruger,12/08/2004,Nov,20149,9971
Kiara,Holmes,20/12/2000,Dec,30613,20821
